mapping_id,career_id,skill_id,importance_level,importance_weight,min_proficiency
CS_001,CAR_01,SKL_01,Core,3,Proficient
CS_002,CAR_01,SKL_02,Core,3,Intermediate
CS_003,CAR_01,SKL_03,Core,3,Proficient
CS_004,CAR_01,SKL_05,Core,3,Proficient
CS_005,CAR_01,SKL_06,Core,3,Intermediate
CS_006,CAR_01,SKL_07,Secondary,2,Intermediate
CS_007,CAR_01,SKL_12,Core,3,Proficient
CS_008,CAR_01,SKL_13,Core,3,Proficient
CS_009,CAR_01,SKL_28,Core,3,Proficient
CS_010,CAR_01,SKL_29,Core,3,Intermediate
CS_011,CAR_01,SKL_14,Secondary,2,Intermediate
CS_012,CAR_01,SKL_15,Secondary,2,Basic
CS_013,CAR_01,SKL_24,Secondary,2,Basic
CS_014,CAR_01,SKL_30,Optional,1,Basic
CS_015,CAR_01,SKL_27,Optional,1,Basic
CS_016,CAR_02,SKL_01,Core,3,Proficient
CS_017,CAR_02,SKL_04,Core,3,Intermediate
CS_018,CAR_02,SKL_06,Core,3,Proficient
CS_019,CAR_02,SKL_12,Core,3,Proficient
CS_020,CAR_02,SKL_13,Core,3,Proficient
CS_021,CAR_02,SKL_14,Core,3,Proficient
CS_022,CAR_02,SKL_15,Core,3,Proficient
CS_023,CAR_02,SKL_20,Core,3,Intermediate
CS_024,CAR_02,SKL_21,Secondary,2,Intermediate
CS_025,CAR_02,SKL_24,Core,3,Intermediate
CS_026,CAR_02,SKL_25,Core,3,Intermediate
CS_027,CAR_02,SKL_26,Secondary,2,Basic
CS_028,CAR_02,SKL_27,Secondary,2,Basic
CS_029,CAR_02,SKL_02,Secondary,2,Basic
CS_030,CAR_03,SKL_02,Core,3,Proficient
CS_031,CAR_03,SKL_11,Core,3,Proficient
CS_032,CAR_03,SKL_08,Core,3,Proficient
CS_033,CAR_03,SKL_09,Core,3,Intermediate
CS_034,CAR_03,SKL_10,Core,3,Intermediate
CS_035,CAR_03,SKL_01,Secondary,2,Intermediate
CS_036,CAR_03,SKL_05,Secondary,2,Intermediate
CS_037,CAR_03,SKL_07,Secondary,2,Intermediate
CS_038,CAR_03,SKL_03,Secondary,2,Intermediate
CS_039,CAR_03,SKL_28,Core,3,Intermediate
CS_040,CAR_03,SKL_31,Core,3,Intermediate
CS_041,CAR_03,SKL_23,Optional,1,Basic
CS_042,CAR_04,SKL_01,Core,3,Proficient
CS_043,CAR_04,SKL_14,Core,3,Proficient
CS_044,CAR_04,SKL_15,Core,3,Proficient
CS_045,CAR_04,SKL_17,Core,3,Proficient
CS_046,CAR_04,SKL_18,Secondary,2,Intermediate
CS_047,CAR_04,SKL_19,Core,3,Intermediate
CS_048,CAR_04,SKL_21,Secondary,2,Intermediate
CS_049,CAR_04,SKL_25,Secondary,2,Intermediate
CS_050,CAR_04,SKL_24,Core,3,Intermediate
CS_051,CAR_04,SKL_04,Core,3,Intermediate
CS_052,CAR_04,SKL_20,Secondary,2,Basic
CS_053,CAR_05,SKL_01,Core,3,Proficient
CS_054,CAR_05,SKL_21,Core,3,Proficient
CS_055,CAR_05,SKL_22,Core,3,Intermediate
CS_056,CAR_05,SKL_02,Core,3,Intermediate
CS_057,CAR_05,SKL_23,Core,3,Intermediate
CS_058,CAR_05,SKL_24,Core,3,Proficient
CS_059,CAR_05,SKL_25,Secondary,2,Intermediate
CS_060,CAR_05,SKL_26,Secondary,2,Intermediate
CS_061,CAR_05,SKL_32,Core,3,Proficient
CS_062,CAR_05,SKL_27,Optional,1,Basic
CS_063,CAR_06,SKL_11,Core,3,Proficient
CS_064,CAR_06,SKL_02,Core,3,Intermediate
CS_065,CAR_06,SKL_08,Core,3,Proficient
CS_066,CAR_06,SKL_10,Core,3,Proficient
CS_067,CAR_06,SKL_31,Core,3,Proficient
CS_068,CAR_06,SKL_09,Secondary,2,Intermediate
CS_069,CAR_06,SKL_03,Secondary,2,Basic
CS_070,CAR_06,SKL_28,Secondary,2,Basic
CS_071,CAR_07,SKL_01,Core,3,Proficient
CS_072,CAR_07,SKL_21,Core,3,Proficient
CS_073,CAR_07,SKL_02,Core,3,Proficient
CS_074,CAR_07,SKL_23,Core,3,Proficient
CS_075,CAR_07,SKL_32,Core,3,Proficient
CS_076,CAR_07,SKL_24,Core,3,Proficient
CS_077,CAR_07,SKL_25,Core,3,Intermediate
CS_078,CAR_07,SKL_26,Secondary,2,Intermediate
CS_079,CAR_07,SKL_27,Secondary,2,Basic
