project_id,career_id,title,difficulty,primary_skills,description,key_deliverables
PRJ_001,CAR_01,Customer Churn Prediction & Retention System,Intermediate,"Python, Pandas, Scikit-Learn, Matplotlib, Statistics & Probability","Build an end-to-end classification pipeline to identify customer churn risk and interpret key churn drivers using feature importance.","Jupyter Notebook with EDA, Trained Random Forest/XGBoost model, ROC-AUC evaluation report, SHAP feature importance plots"
PRJ_002,CAR_01,Real Estate Price Valuation Engine,Beginner,"Python, Pandas, NumPy, Scikit-Learn, Feature Engineering","Develop a multivariable regression system to estimate housing prices based on demographic and structural features.","Data cleaning pipeline, outlier detection, cross-validated Ridge/Lasso models, RMSE evaluation metrics"
PRJ_003,CAR_02,Production ML Pipeline with FastAPI & Docker,Advanced,"Python, Scikit-Learn, FastAPI, Docker, MLOps & Model Deployment","Package a trained machine learning model into a high-performance REST API containerized with Docker for production inference.","FastAPI application with /predict endpoint, Dockerfile and container build, automated input validation via Pydantic"
PRJ_004,CAR_02,Deep Learning Image Classifier with PyTorch,Advanced,"Python, PyTorch, Deep Learning, Linear Algebra","Train a Convolutional Neural Network (CNN) with transfer learning (ResNet) to classify image datasets with data augmentation.","PyTorch training loop with TensorBoard logging, Confusion matrix evaluation, exportable ONNX model weight"
PRJ_005,CAR_03,E-Commerce Sales & Customer Segmentation Dashboard,Beginner,"SQL, Power BI, Excel, Business Metrics & KPI Modeling","Extract transaction records using complex SQL queries and build an interactive KPI dashboard analyzing revenue, CAC, and RFM segments.","Relational SQL queries with CTEs/Window functions, Interactive Power BI dashboard (.pbix), Executive summary report"
PRJ_006,CAR_03,Global Supply Chain & Logistics Analytics,Intermediate,"SQL, Tableau, Data Visualization, Pandas","Clean logistical datasets with Pandas and visualize delivery bottlenecks, vendor lead times, and fulfillment delays in Tableau.","Tableau Public workbook with interactive geo-maps, parameter filters, and drill-down metrics"
PRJ_007,CAR_04,Domain-Specific Semantic Search & QA System,Advanced,"Python, Natural Language Processing (NLP), Large Language Models (LLMs), PyTorch","Construct a semantic search retrieval engine using sentence embeddings and vector similarity to search across technical documentation.","Vector indexing pipeline, Cosine similarity search module, Streamlit question-answering UI"
PRJ_008,CAR_05,Automated Data Ingestion & REST API Service,Intermediate,"Python, FastAPI, SQL, Relational Database Design, Git & GitHub","Design a modular Python service that ingests third-party data feeds, performs schema validation, and exposes structured REST endpoints.","FastAPI backend with SQLite database, Alembic migrations, complete unit tests with pytest"
PRJ_009,CAR_06,Financial KPI Modeling & SaaS Metrics Analyzer,Beginner,"Excel, Business Metrics & KPI Modeling, Power BI, SQL","Build a comprehensive financial spreadsheet and dashboard evaluating SaaS unit economics (MRR, ARR, Churn, LTV:CAC).","Interactive Excel financial model with sensitivity analysis, Power BI executive KPI scorecard"
PRJ_010,CAR_07,Scalable Microservice Backend with Authentication & Docker,Intermediate,"Python, FastAPI, Relational Database Design, Docker, RESTful APIs","Build a secure REST API backend featuring JWT authentication, role-based access control (RBAC), and SQLite/PostgreSQL storage.","Containerized FastAPI application, JWT authentication flow, OpenAPI documentation, Docker Compose config"
