prereq_id,skill_id,prerequisite_skill_id,prerequisite_type,reason
PRQ_001,SKL_05,SKL_01,Strict,"Python syntax, data types, and control structures are required before manipulating data with Pandas."
PRQ_002,SKL_06,SKL_01,Strict,"Python basics are required before performing array and matrix operations with NumPy."
PRQ_003,SKL_07,SKL_01,Strict,"Python programming is required to script Matplotlib and Seaborn visualization figures."
PRQ_004,SKL_07,SKL_05,Recommended,"Understanding Pandas DataFrames is strongly recommended to easily plot structured data."
PRQ_005,SKL_12,SKL_01,Strict,"Python is required to write Scikit-Learn training pipelines."
PRQ_006,SKL_12,SKL_05,Strict,"Pandas is required for dataset cleaning, feature encoding, and feeding tabular data into Scikit-Learn."
PRQ_007,SKL_12,SKL_06,Strict,"NumPy array representations underpin Scikit-Learn model inputs and outputs."
PRQ_008,SKL_13,SKL_03,Strict,"Statistics & Probability fundamentals are essential to understand distribution, hypothesis testing, and model metrics."
PRQ_009,SKL_13,SKL_12,Strict,"Scikit-Learn implementation experience is required to apply standard machine learning algorithms."
PRQ_010,SKL_14,SKL_04,Strict,"Linear Algebra (vectors, matrices, dot products, gradients) is essential to comprehend neural network operations."
PRQ_011,SKL_14,SKL_13,Strict,"Classical machine learning principles (overfitting, loss functions, validation) must be mastered before Deep Learning."
PRQ_012,SKL_15,SKL_01,Strict,"Proficiency in Python OOP is necessary to build custom PyTorch nn.Module architectures."
PRQ_013,SKL_15,SKL_14,Strict,"Deep learning conceptual knowledge is required to train neural networks in PyTorch."
PRQ_014,SKL_16,SKL_14,Strict,"Deep learning conceptual knowledge is required to use TensorFlow/Keras."
PRQ_015,SKL_17,SKL_13,Strict,"Machine learning text classification fundamentals are required before advanced NLP."
PRQ_016,SKL_17,SKL_01,Strict,"Python string manipulation and libraries (NLTK/spaCy) are needed for text processing."
PRQ_017,SKL_18,SKL_14,Strict,"Convolutional neural networks and deep learning are required for modern Computer Vision."
PRQ_018,SKL_19,SKL_17,Strict,"NLP fundamentals (tokenization, embeddings, attention mechanism) are required before working with LLMs."
PRQ_019,SKL_19,SKL_15,Recommended,"PyTorch/HuggingFace familiarity is recommended for fine-tuning transformer LLMs."
PRQ_020,SKL_20,SKL_13,Strict,"Model training and evaluation concepts are required before deploying models with MLOps."
PRQ_021,SKL_20,SKL_25,Strict,"Docker containerization is essential for packaging and deploying machine learning services."
PRQ_022,SKL_21,SKL_01,Strict,"Python proficiency is required to write FastAPI applications."
PRQ_023,SKL_22,SKL_01,Strict,"Python proficiency and OOP are required for Django web development."
PRQ_024,SKL_23,SKL_02,Strict,"SQL knowledge is required to design and optimize relational schemas."
PRQ_025,SKL_28,SKL_05,Strict,"Pandas proficiency is required to perform data cleaning and preprocessing."
PRQ_026,SKL_29,SKL_28,Strict,"Data cleaning must be completed before engineering new features for ML models."
PRQ_027,SKL_30,SKL_01,Strict,"Python programming (PySpark) is required to interact with Spark big data clusters."
PRQ_028,SKL_30,SKL_02,Recommended,"SQL querying is foundational for querying distributed Spark SQL tables."
