skill_id,skill_name,category,difficulty_level,description
SKL_01,Python,Programming,Beginner,"High-level, versatile programming language widely used in Data Science, AI, and backend development."
SKL_02,SQL,Database,Beginner,"Standard query language for storing, manipulating, and retrieving data in relational databases."
SKL_03,Statistics & Probability,Mathematics & Statistics,Intermediate,"Mathematical foundation for hypothesis testing, inferential statistics, probability distributions, and data modeling."
SKL_04,Linear Algebra,Mathematics & Statistics,Intermediate,"Mathematical study of vectors, matrices, and linear transformations essential for machine learning and deep learning algorithms."
SKL_05,Pandas,Data Analysis,Beginner,"Fast, powerful, and flexible open-source data analysis and manipulation library for Python."
SKL_06,NumPy,Data Analysis,Beginner,"Fundamental package for scientific computing with Python, offering high-performance multi-dimensional arrays."
SKL_07,Matplotlib & Seaborn,BI & Visualization,Beginner,"Core Python visualization libraries for creating static, animated, and statistical data charts."
SKL_08,Data Visualization,BI & Visualization,Beginner,"The practice of translating raw data into visual contexts (charts, plots, dashboards) to extract actionable insights."
SKL_09,Tableau,BI & Visualization,Intermediate,"Leading visual analytics platform used for creating interactive business intelligence dashboards and reports."
SKL_10,Power BI,BI & Visualization,Beginner,"Microsoft business analytics tool for modeling, analyzing, and visualizing business data."
SKL_11,Excel,BI & Visualization,Beginner,"Spreadsheet tool for basic data manipulation, formulas, pivot tables, and statistical summaries."
SKL_12,Scikit-Learn,Machine Learning,Intermediate,"Premier Python machine learning library featuring classification, regression, clustering, and model evaluation algorithms."
SKL_13,Machine Learning,Machine Learning,Intermediate,"Discipline of training algorithms on data to learn patterns and make predictions without explicit rule programming."
SKL_14,Deep Learning,Deep Learning,Advanced,"Subset of machine learning based on artificial neural networks with multiple layers for representation learning."
SKL_15,PyTorch,Deep Learning,Advanced,"Dynamic deep learning framework developed by Meta for building and training neural network architectures."
SKL_16,TensorFlow,Deep Learning,Advanced,"End-to-end open-source machine learning platform by Google for deep neural network research and deployment."
SKL_17,Natural Language Processing (NLP),AI & NLP,Intermediate,"Computational techniques for analyzing, understanding, and generating human language text and speech."
SKL_18,Computer Vision (CV),AI & NLP,Advanced,"Field of artificial intelligence that trains computers to interpret and understand the visual world from digital images/videos."
SKL_19,Large Language Models (LLMs),AI & NLP,Advanced,"Advanced transformer architectures (e.g., GPT, BERT) capable of general-purpose language understanding and generation."
SKL_20,MLOps & Model Deployment,DevOps & Cloud,Advanced,"Practices and tools for deploying, monitoring, scaling, and managing machine learning models in production."
SKL_21,FastAPI,Software Engineering,Intermediate,"Modern, fast (high-performance) web framework for building RESTful APIs with Python based on standard type hints."
SKL_22,Django,Software Engineering,Intermediate,"High-level Python web framework that enables rapid development of secure and maintainable database-driven web applications."
SKL_23,Relational Database Design,Database,Intermediate,"Designing normalized relational schemas (1NF, 2NF, 3NF), primary/foreign keys, indexing, and transactional integrity."
SKL_24,Git & GitHub,Software Engineering,Beginner,"Distributed version control system and collaborative platform for code management and CI/CD workflows."
SKL_25,Docker,DevOps & Cloud,Intermediate,"Containerization platform used to package applications and their dependencies into portable, isolated containers."
SKL_26,Linux & Bash Scripting,Software Engineering,Beginner,"Command-line operating system navigation, shell scripting, process management, and automated workflows."
SKL_27,Cloud Fundamentals (AWS/GCP),DevOps & Cloud,Intermediate,"Core concepts of cloud computing, storage (S3), compute instances (EC2), serverless functions, and managed databases."
SKL_28,Data Preprocessing & Cleaning,Data Analysis,Beginner,"Techniques for handling missing values, outliers, scaling, encoding categorical variables, and data sanitation."
SKL_29,Feature Engineering,Machine Learning,Intermediate,"Process of using domain knowledge to select, transform, and create features from raw data to improve ML model performance."
SKL_30,Big Data Fundamentals (Spark),Data Engineering,Advanced,"Distributed computing frameworks and APIs (PySpark) for processing massive datasets across clusters."
SKL_31,Business Metrics & KPI Modeling,Analytics,Beginner,"Formulating business KPIs (CAC, LTV, churn rate, conversion funnel) and communicating ROI-driven insights."
SKL_32,RESTful APIs,Software Engineering,Intermediate,"Architectural style for building web services, HTTP verbs (GET, POST, PUT, DELETE), JSON payloads, and status codes."
